Match,Provider,Bet,Team,Timestamp
Liquid-vs-Evil Geniuses-yearmonthday,luckbox,2.4,Evil Geniuses,fecha
Cloud9-vs-Gen.G-yearmonthday,betway,1.95,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,ggbet,2.14,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,ggbetru-hidden,2.14,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,thunderpick,1.73,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,lootbet,1.87,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,bet365,2.0,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,1xbet,1.19,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,1xstavka-hidden,1.19,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,pinnacle,1.44,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,buff88,1.91,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,unibet,2.0,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,thunderfire-hidden,2.01,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,parimatch,2.13,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,skrilla-hidden,2.12,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,unikrn,2.0,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,vulkan,1.84,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,vulkanru-hidden,1.84,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,raybet-hidden,2.19,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,dongying-hidden,2.01,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,betwinner,1.87,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,yabo-hidden,2.14,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,shark-hidden,,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,rb88-hidden,1.19,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,bobbet-hidden,2.14,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,luckbox,1.5,Cloud9,fecha
Cloud9-vs-Gen.G-yearmonthday,betway,1.72,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,ggbet,1.66,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,ggbetru-hidden,1.66,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,thunderpick,2.0,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,lootbet,1.87,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,bet365,1.72,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,1xbet,4.76,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,1xstavka-hidden,4.76,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,pinnacle,2.65,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,buff88,1.89,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,unibet,1.73,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,thunderfire-hidden,1.75,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,parimatch,1.66,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,skrilla-hidden,1.7,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,unikrn,1.72,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,vulkan,1.9,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,vulkanru-hidden,1.9,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,raybet-hidden,1.65,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,dongying-hidden,1.75,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,betwinner,1.93,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,yabo-hidden,1.66,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,shark-hidden,,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,rb88-hidden,4.76,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,bobbet-hidden,1.66,Gen.G,fecha
Cloud9-vs-Gen.G-yearmonthday,luckbox,2.4,Gen.G,fecha
HAVU-vs-Chaos-yearmonthday,betway,1.35,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,ggbet,1.35,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,ggbetru-hidden,1.35,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,thunderpick,1.36,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,lootbet,1.35,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,bet365,1.3,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,1xbet,1.38,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,1xstavka-hidden,1.38,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,pinnacle,1.47,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,buff88,1.36,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,unibet,1.29,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,thunderfire-hidden,1.36,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,parimatch,1.3,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,skrilla-hidden,1.35,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,unikrn,1.36,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,vulkan,1.35,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,vulkanru-hidden,1.35,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,raybet-hidden,1.36,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,dongying-hidden,1.36,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,betwinner,1.38,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,yabo-hidden,1.35,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,shark-hidden,,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,rb88-hidden,1.38,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,bobbet-hidden,1.35,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,luckbox,1.37,HAVU,fecha
HAVU-vs-Chaos-yearmonthday,betway,2.95,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,ggbet,3.08,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,ggbetru-hidden,3.08,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,thunderpick,2.92,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,lootbet,3.0,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,bet365,3.4,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,1xbet,3.02,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,1xstavka-hidden,3.02,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,pinnacle,2.71,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,buff88,3.21,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,unibet,3.35,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,thunderfire-hidden,2.92,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,parimatch,3.3,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,skrilla-hidden,3.15,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,unikrn,3.0,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,vulkan,3.08,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,vulkanru-hidden,3.08,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,raybet-hidden,3.05,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,dongying-hidden,2.92,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,betwinner,3.02,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,yabo-hidden,3.08,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,shark-hidden,,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,rb88-hidden,3.02,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,bobbet-hidden,3.08,Chaos,fecha
HAVU-vs-Chaos-yearmonthday,luckbox,3.1,Chaos,fecha
MIBR-vs-Orgless-yearmonthday,betway,1.3,MIBR,fecha
MIBR-vs-Orgless-yearmonthday,ggbet,1.31,MIBR,fecha
MIBR-vs-Orgless-yearmonthday,ggbetru-hidden,1.31,MIBR,fecha
MIBR-vs-Orgless-yearmonthday,thunderpick,,MIBR,fecha
